Winner for lottery draw 0: [pid: 30, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.028000ms.
Winner for lottery draw 1887: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1888: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1889: [pid: 1512, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1890: [pid: 2301, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1891: [pid: 1120, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1892: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1893: [pid: 943, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1894: [pid: 8376, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 1895: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1896: [pid: 1550, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1897: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1898: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1899: [pid: 780, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1900: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1901: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1902: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1903: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1904: [pid: 135, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1905: [pid: 191, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1906: [pid: 1699, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1907: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1908: [pid: 10, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1909: [pid: 23, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1910: [pid: 403, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1911: [pid: 144, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1912: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1913: [pid: 1377, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1914: [pid: 395, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1915: [pid: 13, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1916: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1917: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1918: [pid: 1704, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1919: [pid: 1916, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1920: [pid: 1578, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1921: [pid: 8376, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1922: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1923: [pid: 1636, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1924: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 1925: [pid: 409, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1926: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1927: [pid: 1601, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1928: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1929: [pid: 6854, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1930: [pid: 4, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1931: [pid: 2079, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.017000ms.
Winner for lottery draw 1932: [pid: 1030, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1933: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1934: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1935: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1936: [pid: 445, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1937: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1938: [pid: 1582, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1939: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1940: [pid: 39, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1941: [pid: 399, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1942: [pid: 1402, nice: -11, tickets: 77, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1943: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1944: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1945: [pid: 6854, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1946: [pid: 790, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1947: [pid: 1900, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1948: [pid: 22, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1949: [pid: 1522, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1950: [pid: 136, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1951: [pid: 1818, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1952: [pid: 33, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1953: [pid: 915, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1954: [pid: 1579, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1955: [pid: 545, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1956: [pid: 285, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1957: [pid: 754, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1958: [pid: 40, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1959: [pid: 471, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1960: [pid: 1490, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1961: [pid: 1580, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1962: [pid: 39, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1963: [pid: 1405, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1964: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1965: [pid: 1782, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1966: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1967: [pid: 2, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1968: [pid: 248, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1969: [pid: 2301, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1970: [pid: 804, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1971: [pid: 8895, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 1972: [pid: 1581, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1973: [pid: 1916, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1974: [pid: 2195, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1975: [pid: 429, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1976: [pid: 136, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1977: [pid: 147, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1978: [pid: 409, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1979: [pid: 1419, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1980: [pid: 1526, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1981: [pid: 1790, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1982: [pid: 1631, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1983: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1984: [pid: 1755, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1985: [pid: 473, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1986: [pid: 10, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 1987: [pid: 1058, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1988: [pid: 1755, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1989: [pid: 1618, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1990: [pid: 3880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1991: [pid: 801, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1992: [pid: 545, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1993: [pid: 2079, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1994: [pid: 7785, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 1995: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1996: [pid: 1636, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1997: [pid: 1580, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 1998: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 1999: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2000: [pid: 1522, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2001: [pid: 800, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2002: [pid: 521, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2003: [pid: 805, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2004: [pid: 3880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2005: [pid: 403, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2006: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2007: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2008: [pid: 426, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2009: [pid: 8668, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2010: [pid: 1581, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2011: [pid: 1405, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2012: [pid: 3840, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2013: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2014: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2015: [pid: 1060, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2016: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2017: [pid: 753, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2018: [pid: 1880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2019: [pid: 3, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2020: [pid: 1831, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2021: [pid: 1666, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2022: [pid: 1551, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2023: [pid: 7630, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2024: [pid: 27, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2025: [pid: 2084, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2026: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2027: [pid: 1534, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.018000ms.
Winner for lottery draw 2028: [pid: 282, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2029: [pid: 925, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2030: [pid: 40, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2031: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2032: [pid: 9, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2033: [pid: 1118, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2034: [pid: 409, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2035: [pid: 1120, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2036: [pid: 1755, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2037: [pid: 1580, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2038: [pid: 2202, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2039: [pid: 1649, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2040: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2041: [pid: 400, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2042: [pid: 787, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2043: [pid: 14, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2044: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2045: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2046: [pid: 6854, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2047: [pid: 1656, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2048: [pid: 33, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2049: [pid: 36, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2050: [pid: 12, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2051: [pid: 2080, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2052: [pid: 137, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2053: [pid: 429, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2054: [pid: 284, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2055: [pid: 40, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2056: [pid: 4, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2057: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2058: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2059: [pid: 20, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2060: [pid: 141, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2061: [pid: 4095, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2062: [pid: 258, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2063: [pid: 429, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2064: [pid: 426, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2065: [pid: 1782, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2066: [pid: 349, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2067: [pid: 39, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2068: [pid: 1755, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2069: [pid: 943, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2070: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2071: [pid: 1797, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2072: [pid: 259, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2073: [pid: 1656, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2074: [pid: 1030, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2075: [pid: 4120, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2076: [pid: 253, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2077: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2078: [pid: 1813, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2079: [pid: 803, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2080: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2081: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2082: [pid: 245, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2083: [pid: 1604, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2084: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2085: [pid: 354, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2086: [pid: 18, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2087: [pid: 4199, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2088: [pid: 143, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2089: [pid: 881, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2090: [pid: 3880, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2091: [pid: 26, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2092: [pid: 1583, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2093: [pid: 1750, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2094: [pid: 142, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2095: [pid: 8686, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2096: [pid: 1703, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2097: [pid: 22, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2098: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2099: [pid: 366, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2100: [pid: 2080, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2101: [pid: 473, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2102: [pid: 6, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2103: [pid: 13, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2104: [pid: 426, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2105: [pid: 353, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2106: [pid: 251, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2107: [pid: 34, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.002000ms.
Winner for lottery draw 2108: [pid: 1831, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2109: [pid: 1583, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2110: [pid: 3845, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2111: [pid: 1555, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2112: [pid: 763, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2113: [pid: 4019, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2114: [pid: 2080, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2115: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2116: [pid: 1583, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2117: [pid: 1578, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2118: [pid: 761, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2119: [pid: 1116, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2120: [pid: 139, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2121: [pid: 2100, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2122: [pid: 29, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2123: [pid: 763, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2124: [pid: 4125, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2125: [pid: 1702, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2126: [pid: 1746, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2127: [pid: 155, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2128: [pid: 244, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2129: [pid: 805, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2130: [pid: 4019, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2131: [pid: 247, nice: -20, tickets: 100, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2132: [pid: 36, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2133: [pid: 1377, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2134: [pid: 4173, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
Winner for lottery draw 2135: [pid: 3261, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.003000ms.
Winner for lottery draw 2136: [pid: 4125, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.005000ms.
Winner for lottery draw 2137: [pid: 1656, nice: 0, tickets: 50, slice: 2.250000] in a time of 0.004000ms.
